mall_name,address,longitude,latitude 
新奥购物中心,湖景东路9-11号,116.3942,40.0000
华联商厦,通胡大街甲3号,116.7001,39.9184
恒泰广场,丰台北路18号,116.3063,39.8660
王府中環,王府井大街269号,116.4097,39.9122
金源新燕莎MALL,远大路1号,116.2891,39.9585
北京apm,王府井大街138号,116.4119,39.9148
龙湖北京大兴天街,永兴路七号院龙湖大兴天街,116.3195,39.6862
BHG Mall购物中心,新顺南大街8号,116.6525,40.1280
乐成中心SPACE3,东三环中路22号,116.4625,39.8945
国贸商城,建国门外大街1号,116.4584,39.9112
北京SKP,建国路87号,116.4789,39.9103
花乡奥莱村,南四环西路76号,116.3239,39.8275
天虹百货,湖景东路9号,116.3963,40.0015
华贸购物中心,建国路79号,116.4811,39.9091
万达广场,丰科路与五圈路交叉口东100米路南,116.2987,39.8242
龙湖北京长楹天街,朝阳北路常营地铁站F出口旁,116.5980,39.9248
凯德MALL,广顺北大街33号,116.4687,39.9929
望京华彩商业中心,广顺北大街16号,116.4689,40.0108
银泰百货,马家堡东路101号院10号楼,116.3856,39.8444
五彩城,清河中街68号,116.3351,40.0303
世贸天阶THE PLACE,光华路9号,116.4519,39.9162
万达百货,新华西街58号,116.6410,39.9053
北京银泰中心in01,建国门外大街2号,116.4592,39.9074
菜市口百货中心,广安门内大街306号,116.3594,39.8890
燕丰商场,西坝河南里17号楼,116.4391,39.9600
官舍,东方东路亮马桥外交公寓B区一号楼首层,116.4640,39.9519
三里屯太古里,三里屯北路11号,116.4545,39.9385
温特莱中心,西大望路1号,116.4768,39.9132
悠唐购物中心,三丰路三丰北里2号,116.4390,39.9218
中国红街,工体东路丙2号,116.4508,39.9323
新中关购物中心,中关村大街19号,116.3153,39.9783
欧美汇购物中心,中关村丹棱街甲1号,116.3141,39.9795
侨福芳草地购物中心,东大桥路北巷9号,116.4488,39.9192
西单大悦城,西单北大街131号,116.3728,39.9108
凯德MALL,西直门外大街1号,116.3528,39.9417
华熙LIVE,复兴路69-1号,116.2796,39.9105
荟聚中心,欣宁街15号,116.3272,39.7875
合生汇,西大望路甲22号,116.4794,39.8939
首开福茂,宋庄路67号,116.4272,39.8464
万达广场B座,新华西街58号院3,116.6407,39.9057
亦庄创意生活广场,亦庄开发区文化园东路与荣华北路交叉东侧,116.5033,39.8105
青春万达广场,府前西街1号院1号楼,116.6299,40.3162
首航生活广场,丰北路甲79号,116.2938,39.8668
四元桥购物中心,四元桥宜居南路2号楼,116.4609,39.9788
京投港·长阳购物中心,长阳镇长政南街1号院1号楼,116.2133,39.7631
中央公园广场商铺,六里屯朝阳公园南侧,116.4775,39.9326
哇沃生活广场,学院南路南,116.3487,39.9577
燕莎友谊商城,远大路1号金源新燕莎MALL东侧B1楼至3楼,116.2916,39.9585
NTP新城广场,蒲黄榆路芳古园一区18号楼,116.4221,39.8671
BHG Mall购物中心,迎宾街1号院22号楼,117.0946,40.1463
百尚食工坊,兴华南街马驹桥百尚生活广场B1层,116.5451,39.7531
万源广场,万源路和万源北路交叉口西南角,116.4236,39.8021
金熙汇,古城地铁西南金融街长安中心负1层,116.1843,39.9060
陆港城,朝阳北路20号院,116.5926,39.9249
融科天地中心,科学院南路2号,116.3265,39.9832
荣祥广场,馨园一路2号院,116.5475,40.0627
翠微百货,立汤路186号龙德广场1-4层,116.4156,40.0605
双子座购物中心,建国门外大街乙12号,116.4486,39.9076
西单购物中心,西单北大街132号,116.3746,39.9114
龙湖星悦荟,颐和园路208号,116.2901,39.9983
东环广场,东中街29号,116.4361,39.9372
云影小镇,朝阳路28号,116.5926,39.9111
鲁能美丽汇,合景香悦四季西区,116.6513,40.1787
中骏·世界城,金汇路9号,116.4518,39.9177
方庄市场,方庄芳星园一区15号,116.4322,39.8619
中粮广场购物中心,建国门内大街8号,116.4300,39.9072
金宝汇购物中心,金宝街88号,116.4223,39.9152
华贸广场,西大望路甲6号,116.4799,39.9100
华夏幸福创新中心·特色商街,汽车博物馆西路8号院华夏幸福创新中心内,116.3017,39.8240
燕莎友谊商城,亮马桥路52号,116.4630,39.9489
悠唐广场,三丰北里3号北京朝阳悠唐皇冠假日酒店附近,116.4392,39.9221
居然之家体验mall,西三环南路甲27号,116.3098,39.8719
潮驿178,北苑路28号,116.4157,40.0403
财富购物中心,东三环中路7号财富购物中心F1层,116.4591,39.9177
悦茂购物中心,后屯路文龙家园四里4号楼,116.3494,40.0432
BHG Mall购物中心,东三旗路天通中苑F区,116.4150,40.0703
万象汇,水源路与顺密路交叉口东南角,116.8354,40.3556
金隅嘉品Mall,东坝中路38号,116.5483,39.9515
鸿坤购物中心,西红门欣旺北大街8号,116.3399,39.7913
伊藤洋华堂,北四环东路108号,116.4208,39.9882
北京市百货大楼,王府井大街255号,116.4100,39.9138
万达广场,建国路93号,116.4714,39.9102
双安商场,北三环西路38号,116.3259,39.9665
BHG Mall购物中心,育知东路30号院,116.3371,40.0719
华威约饭街,西单北大街130号华威大厦7层,116.3746,39.9115
天虹百货,广安门外大街168号,116.3412,39.8887
BHG Mall购物中心,荣华中路8号院,116.5020,39.8053
麒麟新天地,阜通西大街11号,116.4778,39.9972
那里花园,三里屯北街81号,116.4549,39.9363
北京王府井银泰in88,王府井大街88号,116.4118,39.9161
京通罗斯福广场,北苑南路九棵树地铁对面,116.6588,39.8890
BHG Mall购物中心,巴沟路2号,116.2951,39.9731
通盈中心,南三里屯路与工体北路交叉处,116.4549,39.9323
隆华购物中心,新顺南大街11号,116.6505,40.1264
澳门中心,王府井东街8号,116.4133,39.9149
世纪金源购物中心,远大路1号,116.2886,39.9586
食宝街,中关村大街15号,116.3138,39.9803
华润plus365购物中心,石龙西路润西山别墅区对面,116.1103,39.9114
北京君太,西单北大街133号,116.3733,39.9095
东安市场,王府井大街253-255号,116.4115,39.9138
北京坊,煤市街廊房头条交叉口东北角,116.3967,39.8980
金地广场,建国路91号,116.4743,39.9092
首创奥特莱斯,长阳镇悦盛路6号院,116.1867,39.7633
昌发展万科广场,龙域中街龙域中心,116.3168,40.0665
三里屯SOHO,工体北路8号,116.4533,39.9331
凯德Mall,华佗路2号,116.3190,39.6723
住总万科广场,旧宫东西大街旧宫地铁对面,116.4594,39.8056
银河SOHO购物中心,牌坊胡同甲7号,116.4335,39.9200
国瑞购物中心,崇文门外大街18号,116.4199,39.8982
